filename	word	vowel	freq_f1	amp_f1	width_f1	freq_f2	amp_f2	width_f2	freq_f3	amp_f3	width_f3	freq_h1	amp_h1	freq_h2	amp_h2	amp_h3	amp_p0	freq_p0	p0_id	p0prominence	a1p0_h1	a1p0_h2	a1p0_h3	a1p0	a1p0_compensated	freq_p1	amp_p1	a1p1	a1p1_compensated	a3p0	vwl_amp_rms	vwl_duration	timepoint	point_time	point_vwlpct	attempted_fix	status	errorflag	initial_bi
T0055G0016S0442	l??4n	?4	563	52.76	183	1098	50.34	68	2613	12.42	937	188	42.75	375	50.05	52.76	42.75	188	H1	2.3	10.01	2.71	-0.00241	10.01	12.15539	906	42.84	9.92	13.61804	-30.32561	0.097606342	100	1	1.24	0	None	Auto	None	l
T0055G0016S0445	lai2	l	563	51.55	151	1290	42.37	220	2380	26.34	227	125	39.05	281	40.43	42.77	40.43	281	H2	-0.47	12.5	11.12	8.77861	11.12	13.43692	969	35.29	16.26	19.04358	-14.08825	0.06908179	30	1	1.3	0	None	Auto	None	l
T0055G0016S0445	lai2	ai2	625	48.95	120	1442	41.92	160	2652	23.55	467	125	35.89	250	37.68	35.42	37.68	250	H2	2.02	13.06	11.27	13.52912	11.27	13.47608	906	34.45	14.5	17.10464	-14.12601	0.065510538	80	1	1.33	0	None	Auto	None	l
T0055G0016S0448	l??2?	l?	656	46.52	348	1290	39.8	370	2635	26.94	254	156	42.28	313	40.32	41.23	42.28	156	H1	1.96	4.24	6.2	5.288	4.24	6.29295	969	35.98	10.54	13.73008	-15.34031	0.086986452	130	1	2.68	0	None	Auto	None	l
T0055G0016S0448	l??2?	?2	406	49.39	51	1942	26.32	357	2940	29.53	215	125	41.25	250	48.1	49.39	48.1	250	H2	2.78	8.14	1.29	0.00402	1.29	4.08733	906	19.99	29.4	30.87318	-18.56667	0.088194184	60	1	2.81	0	None	Auto	None	l
T0055G0016S0448	l??2?	l?	313	42.57	384	2337	16.75	448	3718	16.84	334	156	46.59	313	42.57	32.3	46.59	156	H1	4.03	-4.02	0	10.26623	-4.02	-1.93725	1031	10.1	32.47	33.85783	-29.75269	0.094582243	70	1	3	0	None	Auto	None	l
T0055G0016S0448	l??2?	?2	375	50.9	44	2020	31.91	129	2954	22.19	385	125	42.42	250	50.87	50.9	50.87	250	H2	4.21	8.48	0.03	-0.00039	0.03	2.98601	1000	18.86	32.04	33.50849	-28.68385	0.092631071	100	1	3.07	0	None	Auto	None	l
T0055G0016S0448	l??u4	l?_0	344	51.31	33	1749	19.33	822	2666	31.63	57	188	44.45	344	51.31	34.11	51.31	344	H2	12.03	6.86	0	17.20301	0	8.77864	906	16.56	34.75	36.22092	-19.67715	0.081721721	60	1	5.89	0	None	Auto	A1isP0	l
T0055G0016S0448	l??u4	?u4	344	55.44	38	2211	26.74	283	2876	22.4	683	156	42.26	344	55.44	40.28	55.44	344	H2	14.18	13.18	0	15.16342	0	8.78578	1031	20.07	35.37	36.78034	-33.03668	0.078985852	120	1	5.95	0	None	Auto	A1isP0	l
T0055G0016S0453	l??4	l	531	45.46	131	1559	38.59	53	2729	37.52	48	125	37.92	281	39.16	29.49	39.16	281	H2	5.46	7.54	6.3	15.97427	6.3	8.63091	938	23.11	22.35	24.50991	-1.64434	0.060721479	40	1	4.23	0	None	Auto	None	l
T0055G0016S0453	l??4	??4	375	44.86	773	1368	36.82	191	2830	28.77	315	125	40.78	250	44.52	44.86	44.52	250	H2	1.7	4.08	0.34	-0.0032	0.34	2.31925	1031	27.9	16.96	19.43048	-15.7548	0.058358127	30	1	4.27	0	None	Auto	None	l
T0055G0016S0453	laa1	l	531	43.32	685	1379	36.56	340	2729	34.83	133	125	40.17	250	42.88	41.17	42.88	250	H2	2.21	3.15	0.44	2.15465	0.44	2.52409	1031	18.46	24.86	27.30052	-8.05312	0.055785212	60	1	4.3	0	None	Auto	None	l
T0055G0016S0453	laa1	aa1	563	42.31	455	1222	38.52	248	2808	12.92	731	125	36.68	281	25.26	23	36.68	125	H1	11.42	5.63	17.05	19.31235	5.63	7.66522	969	30.16	12.15	15.4112	-23.76437	0.050539628	150	1	4.36	0	None	Auto	None	l
T0055G0016S0456	l?ii3	l?	1188	37.9	276	2513	30.97	428	3848	19.33	719	125	43.66	281	48.79	42.69	48.79	281	H2	5.61	-5.76	-10.89	-4.78624	-10.89	-8.83132	1031	23.93	13.97	17.52947	-29.46393	0.073037925	90	1	0.93	0	HighF1Corrected	Auto	HighF1	l
T0055G0016S0456	l?ii3	ii3	250	46.64	128	2067	28.1	377	2540	34.93	196	125	40.75	250	46.64	45.11	46.64	250	H2	3.71	5.89	0	1.5284	0	2.80482	1000	17.67	28.97	30.40389	-11.70626	0.073248181	80	1	1.02	0	None	Auto	A1isP0	l
T0055G0016S0457	l??5	l	656	41.74	541	1564	39.5	222	2652	36.4	132	94	31.15	219	35.99	33.28	35.99	219	H2	3.78	10.59	5.75	8.46118	5.75	7.83212	875	29.48	12.26	14.90669	0.40665	0.070547651	40	1	1.9	0	None	Auto	None	l
T0055G0016S0457	l??5	??5	563	41.95	416	1564	40.76	84	2623	38.52	61	125	34.06	219	37.58	32.51	37.58	219	H2	4.3	7.89	4.37	9.44132	4.37	6.48796	906	20.11	21.84	24.0808	0.94182	0.071076945	40	1	1.94	0	None	Auto	None	l
T0055G0016S0457	n?ii3	n?	281	50.09	116	2147	34.44	97	2984	29.77	318	125	41.44	281	50.09	37.96	50.09	281	H2	10.39	8.65	0	12.12818	0	3.56553	969	16.97	33.12	34.49715	-20.31855	0.063577431	60	1	2.77	0	None	Auto	A1isP0	n
T0055G0016S0457	n?ii3	ii3	250	47.23	466	1538	15.63	814	2984	16.1	900	125	37.79	250	47.23	41.62	47.23	250	H2	7.52	9.44	0	5.61083	0	2.06078	875	21.13	26.1	27.63846	-31.13361	0.063133857	60	1	2.83	0	None	Auto	A1isP0	n
T0055G0016S0457	l?uu4	l?	625	40.54	428	1500	40.23	106	2605	30.1	179	125	34.72	250	38.55	27.96	38.55	250	H2	7.22	5.82	1.99	12.58373	1.99	4.14385	1000	21.32	19.22	21.5956	-8.452	0.042716552	80	1	3.7	0	None	Auto	None	l
T0055G0016S0457	l?uu4	uu4	281	47.13	279	1052	23.53	715	2516	5.1	613	156	42.73	281	47.13	40.12	47.13	281	H2	5.71	4.4	0	7.00805	0	2.47016	969	23.53	23.6	25.4346	-42.03178	0.042337404	50	1	3.78	0	None	Auto	A1isP0	l
T0055G0016S0460	lai2	l	531	41.25	961	1153	40.26	248	2436	15.16	621	94	30.13	219	34.28	34.39	34.28	219	H2	2.02	11.12	6.97	6.86031	6.97	9.01744	1031	31.94	9.31	13.34285	-19.11836	0.045913276	70	1	1.58	0	None	Auto	None	l
